_IDOBJ;NOM_COMPLET;THEME;LIBTHEME;CATEGORIE;LIBCATEGORIE;TYPE;LIBTYPE;STATUT;COMMUNE;ADRESSE;TELEPHONE;WEB;CODE_POSTAL;LONG_WGS84;LAT_WGS84
3950,000000000000000;Parc en enclos Courte Durée Gare Nord;10,000000000000000;DEPLACEMENT;1005,000000000000000;Parc en Enclos;;;;NANTES;Boulevard de Stalingrad;;;44000;-1,543478750844;47,217264732216
4030,000000000000000;Station Manufacture;10,000000000000000;DEPLACEMENT;1003,000000000000000;Transport partagé;100302,000000000000000;Marguerite;;NANTES;Boulevard de Stalingrad;;;44000;-1,535864985230;47,219107562114
281,000000000000000;Gare de Nantes Nord - Direction régionale;10,000000000000000;DEPLACEMENT;1004,000000000000000;Transport en commun;100403,000000000000000;Rail;;NANTES;Boulevard de Stalingrad;08 36 35 35 35;www.sncf.fr;44000;-1,542359966056;47,217443160658
280,000000000000000;Parking ouvrage Gare Nord;10,000000000000000;DEPLACEMENT;1001,000000000000000;Parking Ouvrage;100102,000000000000000;Elévation;;NANTES;Boulevard de Stalingrad;08 25 88 88 26;www.resaplace.com;44000;-1,544984334115;47,216689040172
3652,000000000000000;Parking ouvrage Cathédrale;10,000000000000000;DEPLACEMENT;1001,000000000000000;Parking Ouvrage;100101,000000000000000;Souterrain;;NANTES;Rue Sully;02 51 84 94 51;www.parkings-nantes.fr;44000;-1,551056168326;47,220813351072
3778,000000000000000;Parc relais busway Bourdonnières 2;10,000000000000000;DEPLACEMENT;1002,000000000000000;Parc Relais;100203,000000000000000;Libre;;NANTES;Rue des Bourdonnières;;;44200;-1,523151331556;47,186724242830
3715,000000000000000;30 Station Abonnement Commerce;10,000000000000000;DEPLACEMENT;1003,000000000000000;Transport partagé;100301,000000000000000;Bicloo;;NANTES;Allée Brancas;;www.bicloo.nantesmetropole.fr;44000;-1,557380722638;47,213145029425
4021,000000000000000;Station 50 Otages;10,000000000000000;DEPLACEMENT;1003,000000000000000;Transport partagé;100302,000000000000000;Marguerite;;NANTES;Rue Le Nôtre;;;44000;-1,557321377259;47,219445958235
1046,000000000000000;Parking ouvrage Talensac;10,000000000000000;DEPLACEMENT;1001,000000000000000;Parking Ouvrage;100102,000000000000000;Elévation;;NANTES;Rue Le Nôtre;02 51 84 94 51;www.parkings-nantes.fr;44000;-1,558357299902;47,220255981046
3687,000000000000000;3 Station Accueil Strasbourg;10,000000000000000;DEPLACEMENT;1003,000000000000000;Transport partagé;100301,000000000000000;Bicloo;;NANTES;Place Tirant Lo Blanc;;www.bicloo.nantesmetropole.fr;44000;-1,551617564984;47,216532854728
4028,000000000000000;Station Cité des Congrès;10,000000000000000;DEPLACEMENT;1003,000000000000000;Transport partagé;100302,000000000000000;Marguerite;;NANTES;Rue de Valmy;;;44000;-1,544390484484;47,213392746195
1624,000000000000000;Port de l'Erdre;10,000000000000000;DEPLACEMENT;1004,000000000000000;Transport en commun;100402,000000000000000;Fluvial;;NANTES;Quai de Versailles;02 40 37 04 62;www.nge-nantes.fr;44000;-1,553724598010;47,225203577314
3708,000000000000000;24 Station Accueil Versailles;10,000000000000000;DEPLACEMENT;1003,000000000000000;Transport partagé;100301,000000000000000;Bicloo;;NANTES;Quai de Versailles;;www.bicloo.nantesmetropole.fr;44000;-1,553728032107;47,224423383876
3695,000000000000000;11 Station Accueil Calvaire;10,000000000000000;DEPLACEMENT;1003,000000000000000;Transport partagé;100301,000000000000000;Bicloo;;NANTES;Place des Volontaires de la Défense Passive;;www.bicloo.nantesmetropole.fr;44000;-1,560606306876;47,215599181963
4016,000000000000000;Aire de Covoiturage Pas Enchantés;10,000000000000000;DEPLACEMENT;1006,000000000000000;Aire de covoiturage;;;;ST-SEBASTIEN;Boulevard des Pas Enchantés;;www.covoiturage-nantesmetropole.fr;44230;-1,503941058483;47,210388937340
3752,000000000000000;66 Station Accueil Chanzy;10,000000000000000;DEPLACEMENT;1003,000000000000000;Transport partagé;100301,000000000000000;Bicloo;;NANTES;Avenue Chanzy;;www.bicloo.nantesmetropole.fr;44000;-1,548018021790;47,225441394771
4034,000000000000000;Station Gare Maritime;10,000000000000000;DEPLACEMENT;1003,000000000000000;Transport partagé;100302,000000000000000;Marguerite;;NANTES;Quai Ernest Renaud;;;44100;-1,572668973431;47,206530193631
3727,000000000000000;42 Station Abonnement Gare Maritime;10,000000000000000;DEPLACEMENT;1003,000000000000000;Transport partagé;100301,000000000000000;Bicloo;;NANTES;Quai Ernest Renaud;;www.bicloo.nantesmetropole.fr;44100;-1,572629532377;47,206609081175
